Stock,Alt,Sim,Year,SSB,Rec,Tot_biom,SPR_Implied,F,Ntot,Catch,ABC,OFL,AvgAge,AvgAgeTot,SexRatio,B100,B40,B35
EBS_Pollock_2024,1,1,2025,3343.41,27005.7,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,2.35119,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2026,2920.78,20759.8,11899.7,0.473045,0.20093,9596.03,1350,1752.39,2103.45,4.71145,2.43692,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2027,2622.27,13452.1,11827.5,0.4,0.26977,8959.02,1663.75,1663.75,1998.27,4.17041,2.66838,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2028,2432.09,21260,11054.8,0.4,0.26977,8907.73,1597.16,1597.16,1918.74,4.00216,2.37179,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2029,2389.31,49062.8,10714.3,0.400198,0.269548,8935.73,1590.33,1590.33,1886.17,4.18215,1.77708,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2030,2235.03,14555.8,11801.4,0.417323,0.251219,8197.53,1434.28,1434.28,1701.75,4.04119,2.36734,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2031,2087.46,34378.8,11839.1,0.435166,0.233691,7838.68,1229.77,1229.77,1464.88,3.28986,2.08308,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2032,2394.33,48442.8,13138.3,0.4,0.26977,9997.05,1518.14,1518.14,1810.44,3.57651,1.90018,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2033,2788.14,8379.19,15325,0.4,0.26977,10838.6,1918.11,1918.11,2309.59,3.68092,2.72051,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2034,2744.79,14093.9,14312.3,0.4,0.26977,11005.3,1958.11,1958.11,2348.2,3.33391,2.81444,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2035,3019.07,25919,13629.4,0.4,0.26977,12438.9,1924.52,1924.52,2320.46,3.88987,2.40442,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2036,3202.89,60909.1,13243.3,0.4,0.26977,12017.7,2212.18,2212.18,2657.78,4.45589,1.74798,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2037,2661.21,8294.34,13694.1,0.4,0.26977,9646.5,1878.01,1878.01,2246.39,4.12586,2.58183,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,1,2038,2307.22,38204.3,13211.5,0.409127,0.259795,8609.56,1413.3,1413.3,1681.56,3.20316,2.10977,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2025,3343.41,17974.9,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,2.65292,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2026,2920.78,15822,11402.7,0.473043,0.200931,9596.03,1350,1752.38,2103.44,4.72689,2.67014,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2027,2619.71,5753.35,10854.4,0.4,0.26977,8929.64,1654.62,1654.62,1986.98,4.44571,3.19756,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2028,2337.11,13528.9,9415.49,0.405829,0.263347,8226.3,1508.63,1508.63,1787.54,4.37011,2.67775,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2029,2121.98,13008,8307.19,0.430854,0.23779,7557.31,1248.67,1248.67,1484.59,4.68173,2.5358,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2030,1882.56,12620.4,7514.55,0.462682,0.209353,6403.66,992.115,992.115,1183.62,4.67288,2.46905,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2031,1650.67,27103.3,6950.01,0.498388,0.181815,5656.84,742.112,742.112,888.867,4.41946,1.93484,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2032,1603.57,15647.8,7785.22,0.506321,0.176226,5566.1,673.859,673.859,810.17,4.28991,2.24286,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2033,1619.25,19927,8327.31,0.503654,0.178085,5730.81,731.394,731.394,877.94,3.73259,2.20299,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2034,1756.54,15747.5,8994.44,0.481418,0.194391,6776.5,840.036,840.036,1007.65,3.75433,2.38555,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2035,1994.55,15645,9539.88,0.447217,0.222658,7566.15,1111.77,1111.77,1329.31,3.87818,2.43392,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2036,2039.57,27116.3,9282.92,0.441296,0.228002,7783.41,1202.14,1202.14,1431.17,3.97917,2.06936,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2037,2024.63,17149.8,9674.06,0.443242,0.22623,7551.01,1135.73,1135.73,1355.14,4.08742,2.31225,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,2,2038,1978.06,25537.8,9721.8,0.449431,0.220697,7302.06,1101.82,1101.82,1314.2,3.78038,2.13181,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2025,3343.41,37308.3,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,2.11831,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2026,2920.78,5039.15,12466.7,0.473046,0.200929,9596.03,1350,1752.4,2103.46,4.69395,3.04075,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2027,2625.2,6890.29,11762.6,0.4,0.26977,8992.53,1674.15,1674.15,2011.11,3.93173,3.26328,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2028,2538.99,7493.76,10422,0.4,0.26977,9615.65,1640.09,1640.09,1971.39,4.23059,3.25707,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2029,2492.27,13026.7,9091.9,0.4,0.26977,8922.97,1686.9,1686.9,2026.66,4.87079,2.65293,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2030,2000.5,17506.9,7182.95,0.446435,0.223355,6816.64,1177.62,1177.62,1396.17,5.11325,2.21569,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2031,1599.17,35910.6,6662.1,0.507079,0.175701,5171.77,655.199,655.199,786.513,4.7659,1.74178,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2032,1478.59,13562.4,8057.66,0.528665,0.161383,4936.66,565.376,565.376,680.505,4.11924,2.27644,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2033,1554.07,10718.1,8986.74,0.514941,0.170347,5593.43,655.403,655.403,788.984,3.36872,2.62924,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2034,1898.06,12866,9464.4,0.460471,0.2112,7694.53,982.512,982.512,1177.66,3.64581,2.64488,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2035,2236.79,13645.8,9574.74,0.417117,0.25143,8621.46,1429.37,1429.37,1701.98,4.19139,2.55644,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2036,2078.54,36921,8457.11,0.436298,0.232628,7654.27,1287.49,1287.49,1527.86,4.38542,1.81788,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2037,1830.64,11756.8,8983.92,0.47022,0.203189,6516.38,905,905,1082.07,4.30886,2.39685,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,3,2038,1752.95,35625.8,9249.11,0.481976,0.193964,6239.15,833.161,833.161,998.676,3.5358,1.93105,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2025,3343.41,6051.38,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,3.34401,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2026,2920.78,10560.2,10746.6,0.473042,0.200933,9596.03,1350,1752.37,2103.42,4.74744,3.11277,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2027,2616.33,7645.75,9638.7,0.4,0.26977,8890.85,1642.57,1642.57,1972.09,4.8849,3.15243,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2028,2215.66,12074.9,8012.26,0.419581,0.248917,7330.7,1368.18,1368.18,1621.89,5.03444,2.63634,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2029,1789.77,16146.2,6684.16,0.476337,0.198331,5893.31,885.434,885.434,1056.22,5.01672,2.25843,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2030,1554.1,35037.3,6528.78,0.51494,0.170348,5036.99,630.625,630.625,757.787,4.7306,1.74333,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2031,1458,16288.8,7843.38,0.532536,0.158937,4886.78,570.418,570.418,686.267,4.16874,2.17593,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2032,1507.58,8475.62,8840.51,0.523307,0.164827,5407.01,617.011,617.011,743.278,3.3924,2.70678,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2033,1836.19,14437,9270.35,0.469397,0.203853,7432.85,913.377,913.377,1096.07,3.58383,2.57311,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2034,2210.08,11770.9,9552.69,0.420232,0.248258,8590.65,1384.87,1384.87,1650.43,4.18198,2.64649,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2035,2090.5,9949.65,8461.67,0.434786,0.234048,7674.14,1307.28,1307.28,1551.42,4.37008,2.70223,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2036,1825.72,30544.5,7381.68,0.470949,0.202604,6541.05,906.955,906.955,1083.83,4.40358,1.89606,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2037,1738.91,30850.9,8095.5,0.484164,0.192296,6081.94,797.997,797.997,956.692,4.46826,1.87705,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,4,2038,1657.62,70241.8,9307.69,0.497237,0.182641,5739.98,768.322,768.322,920.996,3.70287,1.56284,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2025,3343.41,60939.1,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,1.80147,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2026,2920.79,17632.6,13767.1,0.47305,0.200926,9596.03,1350,1752.42,2103.49,4.65432,2.40981,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2027,2631.9,14190.8,14291.1,0.4,0.26977,9069.41,1698.04,1698.04,2040.64,3.44952,2.72303,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2028,2797.96,15398.5,13979.4,0.4,0.26977,11397.7,1787.74,1787.74,2152.92,3.61858,2.78888,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2029,3260.87,8016.07,13762.2,0.4,0.26977,12550.8,2206.18,2206.18,2657.13,4.23294,3.17788,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2030,2946.5,21626.3,11154,0.4,0.26977,10937.2,2137.46,2137.46,2556.79,4.4845,2.39548,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2031,2409.68,23390.2,9584.04,0.4,0.26977,8625.5,1545.39,1545.39,1840.96,4.73382,2.16531,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2032,2049.3,15211.2,9210.73,0.440037,0.229158,6963.55,1131.21,1131.21,1346.92,4.34046,2.38297,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2033,1862.47,11378.8,9028.07,0.465569,0.206969,6661.89,939.598,939.598,1122.59,3.85042,2.62979,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2034,1983.52,8879.14,9120.56,0.448692,0.221349,7445.78,1054.14,1054.14,1261.19,3.96237,2.85726,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2035,2086.08,42999.1,8614.3,0.435341,0.233526,7764.36,1241.09,1241.09,1477.9,4.26148,1.75349,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2036,1952.72,9563.31,9420.54,0.452872,0.217686,7043.08,1088.92,1088.92,1297.37,4.48165,2.45277,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2037,1757.14,24874.7,9302.5,0.48133,0.194459,6149.14,866.016,866.016,1036.51,3.486,2.15909,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,5,2038,1923.98,25551.7,10092.1,0.456833,0.214278,7800.85,960.44,960.44,1150.73,3.69117,2.15855,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2025,3343.41,62610.9,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,1.78572,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2026,2920.79,15260.5,13859.2,0.47305,0.200926,9596.03,1350,1752.42,2103.49,4.65154,2.46566,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2027,2632.37,12608.8,14290.4,0.4,0.26977,9074.85,1699.73,1699.73,2042.72,3.42419,2.80467,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2028,2815.35,19936.5,13862.2,0.4,0.26977,11513.1,1794.89,1794.89,2161.69,3.64245,2.62414,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2029,3279.38,12859.2,13847.9,0.4,0.26977,12560.3,2222.17,2222.17,2676.22,4.30525,2.82678,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2030,2906.83,17745.9,11490.4,0.4,0.26977,10717.5,2121.93,2121.93,2537.2,4.39192,2.51966,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2031,2387.04,17783.8,9898.27,0.40044,0.269278,8663.82,1511.82,1511.82,1791.37,4.42573,2.39992,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2032,2159.63,9548,9371.06,0.426249,0.242263,7613.44,1247.72,1247.72,1485,4.30979,2.7355,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2033,1994.79,9972.25,8610.19,0.447189,0.222683,7146.35,1105.72,1105.72,1317.28,4.12416,2.77039,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2034,1948.82,19135.1,8045.96,0.453404,0.217225,7086.02,1033.81,1033.81,1234.9,4.34612,2.26037,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2035,1883.05,16523,7908.82,0.462612,0.209412,6650.33,993.471,993.471,1186.16,4.5517,2.26363,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2036,1699.93,9676.08,7712.54,0.490348,0.187665,5888.61,810.315,810.315,969.691,4.18769,2.59647,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2037,1655.3,35496.8,7565.96,0.497616,0.182368,5990.1,727.371,727.371,873.437,3.99205,1.83201,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,6,2038,1780.82,51028.2,8972.87,0.47769,0.197274,6533.34,858.034,858.034,1028.87,4.18883,1.66954,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2025,3343.41,11261.9,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,2.9819,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2026,2920.78,6219.42,11033.3,0.473042,0.200932,9596.03,1350,1752.37,2103.43,4.73844,3.38564,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2027,2617.81,22493,9804.52,0.4,0.26977,8907.8,1647.83,1647.83,1978.59,4.69353,2.3268,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2028,2267.01,87577.7,8972.32,0.413652,0.255017,7700.48,1421.41,1421.41,1684.48,4.96791,1.43187,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2029,1872.44,12722.5,12120.5,0.464136,0.208149,6183.96,988.268,988.268,1177.85,4.21531,2.24373,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2030,1720.93,19191.1,13432.5,0.486994,0.190162,6315.82,823.205,823.205,987.968,2.63226,2.50215,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2031,2580.97,10017.1,15126.6,0.4,0.26977,11958.3,1565.68,1565.68,1895.47,3.24095,3.02399,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2032,3653.07,24422.8,15624.6,0.4,0.26977,14593.8,2542.42,2542.42,3065.83,4.05914,2.51679,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2033,3336.83,40879.4,13048.3,0.4,0.26977,12790,2511.02,2511.02,2999.28,4.51517,1.97929,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2034,2674.42,16491.7,12421.7,0.4,0.26977,9520.2,1701.44,1701.44,2044.34,4.34683,2.41809,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2035,2329.57,9599.09,11941.7,0.406656,0.26245,8495.31,1453.92,1453.92,1724.36,3.57758,2.8516,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2036,2464.25,42976.4,11612.3,0.4,0.26977,9755.68,1556.76,1556.76,1876.01,3.75035,1.94812,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2037,2687.93,52154.4,12679.5,0.4,0.26977,10229.4,1835.71,1835.71,2207.19,4.28089,1.78958,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,7,2038,2388.34,27600.5,13781.9,0.400301,0.269433,8771.76,1713.99,1713.99,2023.34,3.6015,2.14227,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2025,3343.41,11627.5,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,2.96064,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2026,2920.78,8730.98,11053.4,0.473043,0.200932,9596.03,1350,1752.38,2103.43,4.73781,3.16134,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2027,2617.91,18069.8,9971.13,0.4,0.26977,8908.99,1648.2,1648.2,1979.05,4.67526,2.49551,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2028,2271.35,13525,8957.66,0.413158,0.255533,7735.58,1428.3,1428.3,1692.67,4.84411,2.50179,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2029,1905.34,18421.6,7969.99,0.459452,0.212057,6393.75,1017.57,1017.57,1212.41,4.47768,2.24967,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2030,1723.29,17948.4,7865.51,0.486622,0.190441,6052.48,790.467,790.467,947.105,4.24431,2.24308,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2031,1755.94,19849.6,8353.22,0.481511,0.19432,6232.89,832.661,832.661,998.607,4.05853,2.19921,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2032,1794.58,36805.2,8758.06,0.475604,0.198907,6607.38,905.276,905.276,1083.13,3.92609,1.85333,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2033,1873.51,10040.4,10189.3,0.463975,0.208281,7002.42,971.911,971.911,1163.14,3.84175,2.52795,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2034,1970.13,52152.5,10414.6,0.4505,0.219757,7508.26,1100.64,1100.64,1314.6,3.44165,1.77141,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2035,2214.85,47446.2,12504.1,0.419672,0.248825,8999.35,1342.25,1342.25,1599.65,3.76058,1.84644,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2036,2407.26,11629.3,14926.3,0.4,0.26977,9197.84,1671.9,1671.9,1996.54,3.32447,2.56536,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2037,2528.94,8445.78,14735.9,0.4,0.26977,10726.1,1731.39,1731.39,2080.8,3.10674,3.06348,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,8,2038,3198.66,17810.6,14593.6,0.4,0.26977,13403.5,2060.09,2060.09,2487.86,3.79242,2.77301,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2025,3343.41,18136.8,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,2.64633,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2026,2920.78,29114.8,11411.7,0.473043,0.200931,9596.03,1350,1752.38,2103.44,4.72661,2.23104,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2027,2619.76,55874,11598.5,0.4,0.26977,8930.16,1654.8,1654.8,1987.2,4.41743,1.75654,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2028,2342.25,9788.48,13221.1,0.405268,0.263957,8281.46,1525.77,1525.77,1808.18,3.89045,2.5439,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2029,2273.09,8339.57,13233.8,0.412959,0.255742,8715.23,1453.43,1453.43,1728.08,3.17467,3.00519,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2030,2722.82,24569,12938.8,0.4,0.26977,11524.5,1755.7,1755.7,2116.93,3.67617,2.4383,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2031,3118.42,14038.9,12872.1,0.4,0.26977,11946.4,2159.86,2159.86,2597.78,4.46609,2.65588,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2032,2621.47,31434.1,10669.4,0.4,0.26977,9505.32,1905.25,1905.25,2277.19,4.3124,2.04785,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2033,2159.75,10853,10207.2,0.426234,0.242278,7895.08,1202.34,1202.34,1431.51,4.1964,2.5905,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2034,2130.62,21886.7,10188.4,0.429787,0.238818,7665.18,1217.7,1217.7,1452.52,3.79886,2.29541,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2035,2165.96,19524,10199,0.425485,0.243015,8367.4,1311.46,1311.46,1559.42,3.95499,2.32142,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2036,2227.64,66195.3,10368.9,0.41818,0.250342,8240.85,1393.35,1393.35,1658.48,4.03604,1.61068,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2037,2106.18,25536.6,12478.8,0.432818,0.235913,7953.86,1278.8,1278.8,1519.11,3.84424,2.09686,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,9,2038,2110.79,8930.91,13971.8,0.43224,0.236463,8043.77,1239.98,1239.98,1480.78,3.00752,2.79111,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2025,3343.41,6021.9,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,3.34643,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2026,2920.78,12613.4,10745,0.473042,0.200933,9596.03,1350,1752.37,2103.42,4.74749,2.96484,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2027,2616.32,17095.6,9749.4,0.4,0.26977,8890.75,1642.54,1642.54,1972.05,4.88166,2.49408,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2028,2215.91,17759.6,8689.05,0.419552,0.248946,7335.21,1370.09,1370.09,1624.21,4.90642,2.29511,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2029,1812.51,8637.72,7917.13,0.472917,0.201032,6072.02,911.691,911.691,1087.58,4.41618,2.69038,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2030,1703.24,13801.9,7641.14,0.489812,0.188062,5977.36,758.034,758.034,909.973,4.09686,2.48304,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2031,1792.28,35331.6,7734.23,0.475951,0.198635,6510.28,875.542,875.542,1048.82,4.29739,1.81955,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2032,1784.06,8460.97,8793.04,0.4772,0.197657,6303.91,904.211,904.211,1081.54,4.31289,2.51932,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2033,1673.57,5350.89,8674.27,0.494618,0.184534,6001.75,793.7,793.7,950.971,3.53729,3.05212,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2034,1871.99,24580.9,8484.28,0.464191,0.208104,7466.37,913.681,913.681,1096.1,3.84529,2.16774,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2035,2147.98,24772.6,9160.93,0.427661,0.240881,7983.93,1297.85,1297.85,1547.3,4.54222,2.05167,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2036,1885.93,50760.7,8893.01,0.462208,0.209748,6612.48,1079.04,1079.04,1283.09,4.10345,1.6729,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2037,1713.61,18677.5,10806.3,0.488156,0.189293,6372.1,765.047,765.047,918.209,3.61304,2.22676,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,10,2038,1993.98,12897.1,12466.5,0.447291,0.222592,7749.37,1071.33,1071.33,1284.36,3.12181,2.65657,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2025,3343.41,21686,12192,0.519517,0.167306,11100.1,1350,2066.31,2477.69,5.02194,2.51399,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2026,2920.78,26295.7,11607,0.473044,0.200931,9596.03,1350,1752.38,2103.44,4.72053,2.29469,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2027,2620.76,19180.5,11719,0.4,0.26977,8941.71,1658.38,1658.38,1991.63,4.31336,2.40673,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2028,2377.21,22697.4,11309.8,0.40149,0.26811,8533.79,1563.96,1563.96,1853.06,3.94866,2.29671,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2029,2316.83,11668,11191.8,0.40806,0.260937,8768.54,1487.64,1487.64,1766.58,3.91409,2.67125,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2030,2329.34,12466.5,10650.2,0.406681,0.262423,8822.73,1531.24,1531.24,1818.01,3.91502,2.70502,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2031,2277.39,44591.3,9712.95,0.412473,0.256252,8684.47,1463.85,1463.85,1737.22,4.1537,1.79649,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2032,2167.3,31135.1,10612.3,0.425324,0.243174,7909.04,1312.19,1312.19,1560.54,4.34253,1.96413,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2033,1954.22,10068.2,11419.5,0.452668,0.217863,7018.53,1093.53,1093.53,1303.31,3.43384,2.61136,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2034,2111.45,7569.65,11681.6,0.432156,0.236544,8642.85,1179.58,1179.58,1410.05,3.31424,3.06445,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2035,2672.64,20118.7,11751.5,0.4,0.26977,10804.1,1756,1756,2117.82,3.9418,2.49625,0.5,5977.95,2391.18,2092.28
EBS_Pollock_2024,1,11,2036,2704.42,44787.3,10729.3,0.4,0.26977,10210.3,1940.7,1940.7,2326.18,4.5699,1.80082,0.5,5977.95,2391.18,2092.28
